RS-H-Spades	163	291333	4628908	74486	19	68.83	0	0	0	0	0	0	0	151	4147008	9	1	7	439947	6	5	7	18.8	15.67	5	0	691	14.93	99.318	1.139	28	28110	291333	1
RS-M-Spades	105	286217	4588344	118093	15	68.81	0	0	0	0	0	0	0	93	4175980	11	1	6	347240	2	6	13	5.39	16.18	5	1	466	10.16	100	1.755	31	35964	286217	1
RS-H-Velvet	586	59062	4475470	13807	98	68.76	0	0	0	0	0	0	0	578	4393452	3	1	2	46721	3	5	7	9.22	15.36	5	0	0	0	94.593	1.006	26	25932	59062	1
RS-M-Velvet	332	71713	4485514	24347	58	68.77	0	0	0	0	0	0	0	326	4400356	3	1	2	52247	0	5	7	0	16.56	5	0	0	0	88.332	1.004	26	25676	71713	1
SA-H-Abyss	92	244957	3034102	64963	13	32.92	0	0	0	0	0	0	0	87	2938858	5	2	5	84095	9	0	0	460.36	0	0	0	0	0	34.703	1.188	10	4185	244957	1
SA-H-Cabog	56	285328	2796508	111165	7	32.73	0	0	0	0	0	0	0	52	2525733	4	2	4	266551	6	0	0	759.49	0	0	0	0	0	12.322	1.268	5	1247	285328	1
SA-H-Mira	110	379101	2853942	132448	7	32.75	0	0	0	0	0	0	0	93	2691069	11	3	1	152341	126	32	32	1752.68	445.12	32	0	46	1.61	28.723	1.356	2	2060	379101	1
SA-H-Msrca	39	449789	2892444	221821	5	32.85	0	0	0	0	0	0	0	35	2502008	3	1	2	387807	6	0	0	759.49	0	0	0	0	0	2.921	3.328	1	751	449789	1
SA-H-Sga	150	173010	2787797	39954	22	32.63	1	1	0	0	1	1721	0	142	2731145	6	3	1	46530	21	1	1	953.25	45.39	1	0	0	0	32.081	1.167	8	4185	173010	1
SA-H-Soap	52	364183	2822930	146332	7	32.69	0	0	0	0	0	0	0	47	2414742	4	2	1	398816	6	0	0	759.49	0	0	0	0	0	32.432	1.069	9	4185	364183	1
SA-H-Spades	44	350174	2854235	187080	6	32.78	0	0	0	0	0	0	0	40	2361939	4	2	3	482293	6	0	0	759.49	0	0	0	57	2	34.999	1.057	10	4185	350174	1
SA-H-Velvet	60	336190	2824718	122507	7	32.73	1	0	0	1	1	1703	0	54	2499950	4	2	1	314904	12	0	0	582.81	0	0	0	0	0	32.662	1.117	9	4185	336190	1
