MA-M-Cabog	856	857	856	40668	5116310	5116733	5116310	8655	4755	176	378	64,08	NA	NA	NA	NA	NA	NA	NA	856	5116310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	40668	40668	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-H-Mira	82	16036	59	338337	5151058	7760947	5136999	147272	109542	12	22	64,11	NA	NA	NA	NA	NA	NA	NA	82	5151058	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106	2,06	NA	NA	NA	NA	338337	338337	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-M-Mira	532	2167	103	279306	5431987	5922392	5167879	89612	46469	15	36	64,09	NA	NA	NA	NA	NA	NA	NA	532	5431987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	165	3,04	NA	NA	NA	NA	279306	279306	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-H-Msrca	63	66	57	375149	5144734	5146013	5140375	246830	110872	9	17	64,13	NA	NA	NA	NA	NA	NA	NA	63	5144734	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	375149	375149	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-M-Msrca	325	326	316	104386	5418108	5418490	5411756	36211	18405	52	104	64,1	NA	NA	NA	NA	NA	NA	NA	325	5418108	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	104386	104386	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-H-Sga	304	679	281	101254	5122631	5183701	5107561	28734	17153	55	110	64,11	NA	NA	NA	NA	NA	NA	NA	304	5122631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	101254	101254	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-M-Sga	666	1230	612	59847	5232350	5380709	5193149	12890	7614	126	255	64,08	NA	NA	NA	NA	NA	NA	NA	666	5232350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	59847	59847	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-H-Soap	71	143	65	474277	5136175	5150322	5131712	148639	88169	11	22	64,09	NA	NA	NA	NA	NA	NA	NA	71	5136175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	474277	474277	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-M-Soap	91	197	84	286460	5133667	5152802	5128622	131561	68567	14	29	64,09	NA	NA	NA	NA	NA	NA	NA	91	5133667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	286460	286460	NA	NA	NA	NA	1	1	NA	NA	NA	NA
MA-H-Spades	74	99	60	627055	5132082	5139836	5122962	150258	94999	10	20	64,11	NA	NA	NA	NA	NA	NA	NA	74	5132082	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	627055	627055	NA	NA	NA	NA	1	1	NA	NA	NA	NA
